Ensemble_ID,Gene_symbol,H376.VI.50_OFC,H376.VI.51_OFC,H376.VI.52_OFC,H376.VII.51_OFC,H376.VIII.51_OFC,H376.VIII.53_OFC,H376.VIII.52_OFC,H376.VIII.54_OFC,H376.VIII.50_OFC
ENSG00000140104,C14orf79,2.93,2.51,6.45,3.65,3.77,0.84,2.77,3.03,2.73
ENSG00000140105,WARS,13.82,7.83,12.83,10.75,16.28,3.36,11.38,5.91,12.48
ENSG00000140107,SLC25A47,0.09,0,0,0,0.02,0.04,0.62,0,0.11
ENSG00000140153,WDR20,2.73,2.9,2.76,2.87,2.33,1.13,1.99,2.71,2.44
ENSG00000140157,NIPA2,12.23,9.89,12.81,13.02,11.59,2.71,8.16,9.1,10.87
ENSG00000140199,SLC12A6,2.57,3.22,1.39,1.73,5.86,0.35,1.65,2.33,3.12
ENSG00000140254,DUOXA1,0,0.05,0,0.02,0.04,0.04,0,0.1,0
ENSG00000140259,MFAP1,14.01,10.46,12.49,18.27,11.08,3.95,11.46,11.71,11.15
ENSG00000140262,TCF12,2.91,10.77,4.22,5.58,5.18,1.69,5.59,6.22,4.95
ENSG00000140263,SORD,0.92,1.45,1.26,1.6,1.85,0.4,0.83,0.92,1.02
ENSG00000140264,SERF2,22.85,29.88,44.81,29.47,22.04,33.81,48.01,32.14,27.38
ENSG00000140265,ZSCAN29,1.46,4.14,1.05,1.64,2.71,0.99,2.31,3.93,2.02
ENSG00000140274,DUOXA2,0,0,0,0,0.02,0,0,0.05,0
ENSG00000140279,DUOX2,0,0.01,0,0,0.01,0,0.28736525,0.01,0
ENSG00000140280,LYSMD2,12.35,7.16,15.55,12.64,11.85,5.39,12.01,9.52,13.96
ENSG00000140284,SLC27A2,1.23,0.25,1.84,1.24,1.66,0.06,0.03,0.4,1.11
ENSG00000140285,FGF7,0,0.04,0.04,0.03,0.07,0.02,0,0,0.03
ENSG00000140287,HDC,0.36,0.14,0.07,0.31,0.29,0.04,0.35,0.47,0.18
ENSG00000140297,GCNT3,0,0.02,0,0.02,0,0,0.61,0.03,0
